KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Topics,CommitteeID
18,2010,10,20,0,0,1,7,2,38,389290,66,פניות ציבור לגבי הסיכון הבטיחותי החמור במחסום הנטוש בכביש רמות 436.,668
18,2011,11,08,0,1,3,3,146,4,423241,128,פניות ציבור של הורים על מצוקותיהם כהורים לפגים לאחר השחרור מהפגיה,668
18,2010,02,16,1,0,23,1,5,3,336816,47,פניות ציבור לגבי השרות הניתן על ידי חברות הסלולר,668
18,2011,05,25,1,0,4,8,69,3,411848,104,פניות ציבור לגבי סיוע ללוקים בתסמונת אנגלמן,668
18,2011,07,12,0,0,1,3,1,0,415067,115,פניות ציבור בנוגע לשלילת מתן הנחה בתחבורה הציבורית לזכאי הבטחת הכנסה. ,668
18,2011,11,28,0,0,28,1,0,0,424953,131,פניות ציבור לגבי רכישת רכב לנכים בחברות ליסינג,668
18,2011,12,20,0,0,4,6,0,44,425740,134,פניות ציבור בנושא העומס במחסום כביש 443 והגישה לגבעת זאב,668
18,2011,07,06,1,0,25,0,4,0,414641,114,פניות ציבור של זכאי משרד השיכון לרכישת דירה  על העדר יכולתם לממש את זכאותם. ,668
18,2010,12,28,0,1,3,1,1,0,403818,80,פניות ציבור לגבי התנהלות מחלקת מלכ"רים ברשות המיסים.,668
18,2010,11,09,0,0,3,6,1,3,394050,72,פניות ציבור של אזרחים על השרות הניתן להם על ידי תאגידי המים,668
18,2011,12,06,0,3,5,3,30,2,425733,132,פניות ציבור של הורים לילדים נכים המבקשים את השתתפות המדינה בקצבת שר"מ- קצבה למימון עובד זר.,668
18,2011,12,19,0,0,2,7,12,4,425738,133,פניות ציבור בנושא הגופים המפקחים על המוסד לביטוח לאומי,668
18,2010,11,23,0,0,9,1,8,2,398611,74,פניות ציבור לגבי השירות הניתן על ידי חברות הכבלים והלווין- ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב- 9 בפברואר 2010,668
18,2011,09,25,0,0,21,3,0,0,420694,124,פניות ציבור בנושא דרוג התשלום במעונות יום משפחתונים וצהרונים- פתיחת שנת הלימודים התשע"ב. ,668
18,2012,01,10,0,0,5,8,23,2,427811,138,פניות ציבור של הורים לילדים נכים המבקשים את השתתפות המדינה בקצבת שר"מ- קצבה למימון עובד זר- ישיבת המשך לישיבת הוועדה שהתקיימה ב- 6.12.2011,668
18,2010,01,26,0,0,0,2,400,1,335482,44,פניות ציבור לגבי זמני ההמתנה הממושכים לתורים לרופאים מומחים (מקצועיים) בקופות החולים.,668
18,2012,02,13,0,0,8,3,2,1,430692,146,פניות ציבור בנוגע לתשלומי חובות על ידי חברות הגביה.,668
18,2012,02,21,0,0,2,9,15,4,431601,149,סיור וישיבת ועדה במזרח לכיש בנוגע לפניות ציבור של תושבי המקום תושבי גוש קטיף לשעבר,668
18,2012,02,28,0,0,2,1,33,16,431999,151,פניות ציבור לגבי שיקום עברייני מין בשרות בתי הסוהר,668
18,2010,10,27,0,0,9,9,10,4,390891,68,א. פניות ציבור בנוגע למדיניות חברת החשמל לגבי תעריפי חשמל בבתי כנסת.ב. פניות ציבור בנוגע למדיניות חברת החשמל לגבי ביצוע מדידות צריכת חשמל במקום הצרכנות משלוח חשבונות לצרכנים ומדיניות הניתוקים.,668
18,2011,07,20,4,0,7,7,6,0,415623,118,פניות ציבור לקליטת מדענים עולים במכון וולקני.,668
18,2009,05,27,1,0,19,0,0,1,324092,6,פניות ציבור בעניין קריסתה של חברת השירות "תדיראן אמפא" והשירות הניתן על ידי חברת קריסטל למבוטחי "תדיראן אמפא".,668
18,2009,05,20,0,0,2,0,178,0,323517,4,פניות ציבור לגבי אי יישום תקרת דמי השתתפות עצמית עבור תרופות לחולים כרוניים על ידי קופות החולים- ישיבת מעקב.,668
18,2009,05,19,1,0,64,33,8,75,323519,3,פניות ציבור לגבי סגירתה של מכללת אלבאום,668
18,2010,01,11,1,0,0,0,0,1,329874,42,פניות ציבור לגבי סגירת מקווה הטהרה בישוב עשרת- ישיבת מעקב לישיבה שהתקיימה בנושא ב-7/9/2009,668
18,2009,05,26,1,1,0,35,171,0,324083,5,פניות ציבור לגבי ביצוע בדיקות סינון שמיעה ליילודים בבתי חולים.,668
18,2009,05,12,1,1,28,4,27,12,323117,2,פגישת הכרות בין יו"ר הוועדה לפניות הציבור וחבריה לבין נציבי פניות ציבור בגופים ממלכתיים.,668
18,2009,06,03,0,0,5,4,10,0,324492,8,פניות ציבור לגבי התנהלות רשות המיסים כלפי הורים לילדים נכים,668
18,2009,06,09,2,15,1,1,20,1,325178,9,פניות ציבור לגבי פעילות מחצבת הנסון מצפון לישוב אלעד. הישיבה מתקיימת במסגרת יום הסביבה הבינלאומי בכנסת.,668
18,2009,06,10,1,0,32,6,2,1,324992,10,פניות ציבור לגבי השירות הניתן לאזרחים על ידי חברת הדואר,668
18,2012,03,20,0,0,3,1,72,0,431072,156,פניות ציבור לגבי סיוע משרד הבריאות לילדים נכים בעזרים רפואיים- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 30.1.2012,668
18,2012,01,24,0,0,2,6,181,4,429669,142,פניות ציבור בנוגע לנוהל התאמת מכשירי שמיעה,668
18,2011,06,14,0,0,5,8,1,2,413074,108,פניות ציבור בנושא שינוי המדיניות בהתקנת שעוני תעו"ז,668
