KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Mks,Topics,CommitteeID
16,2004,01,06,0,1,2,9,2,4,65956,130,100;137;206;209;29,דין וחשבון שנתי של נציב שירות המדינה בנושא ייצוג הולם בקרב העובדים בשירות המדינה (סעיף 15א לחוק שירות המדינה) (מינויים),25
16,2004,01,07,0,0,0,1,0,1,65957,132,747,חוק המפלגות (תיקון מס' 13) התשס"ד-2004,25
16,2004,01,07,0,0,6,1,0,1,65958,133,747;212,הצעת חוק בחירות לגופים ציבוריים (תיקון מס' 4) (ועדת בחירות בארגוני עובדים ארגוני מעבידים ומפלגות) התשס"ד-2004,25
16,2003,12,31,0,0,0,1,0,0,65959,127,100;745;137;206;112;753;92,חוק הדיינים (תיקון מס' 20) התשס"ד-2004 ; חוק הרבנות הראשית לישראל (תיקון) התשס"ד-2004,25
16,2004,01,07,0,48,0,35,2,1,65962,125,,חינוך לאיכות הסביבה,24
16,2004,01,06,7,0,0,87,0,1,65963,135,35;742;713;753;91;126,הצבת עץ אשוח לחג המולד בביה"ס התיכון שליד האוניברסיטה,27
16,2004,01,06,0,0,0,8,0,0,65964,136,35;742;713;750;91;222;126,הטלת ספק ביהדות יוצאי ברה"מ לשעבר-ספר משרד החינוך התרבות והספורט בנושא 100 מושגי יסוד,27
16,2004,01,05,0,0,0,1,0,0,65967,121,,אישור תקנות הרשויות המקומיות (משמעת) (מקום מושבו של בית הדין וחלוקת הוצאות החזקתו) התשס"ד-2003,24
16,2004,01,05,0,0,2,2,0,19,65970,122,201;100;733;7,חוק לתיקון פקודת בתי הסוהר (מס' 28) התשס"ד-2004,24
16,2004,01,06,0,46,2,4,23,16,65975,15,26;739,מצבו של נחל הקישון והטיפול בו,79
16,2004,01,06,1,0,0,4,0,53,65976,131,121;713;752;209;697;92;734,צווים מיום 29/12/03 בדבר מבנים בלתי מורשים והוראות בדבר רכוש שפונה משטח מתוחם,25
16,2004,01,05,4,1,7,0,0,4,65977,122,100;203;748;50;58,בטיחות מכשירי הטלפון הסלולארי ואביזריהם,23
16,2004,01,13,0,0,181,5,0,3,65991,127,64;212;748;203,הצעת חוק הבנקאות (מועדי החזר של הלוואה לדיור) התשס"ג-2003 ; הצעת חוק הבנקאות (מועדי החזר של הלוואה לדיור) התשס"ג-2003,23
16,2004,01,12,0,0,1,39,5,49,65993,39,737,השבוע הבין-לאומי למלחמה בנגע הסמים  ,33
16,2004,01,13,0,0,0,11,1,60,65994,40,,צנחנים בצה"ל תחת השפעת סמים,33
16,2004,01,12,0,1,12,0,0,4,65995,126,737;743;203;112;723;726;58,תקנות התעבורה (תיקון מס'...) התשס"ג-2003 בדבר בין היתר הגדרת רכב מסחרי אחוד התקנת חגורות בטיחות באוטובוסים לסיור וטיול היתר הוראת נהיגה אזרחית למדריכים מצה"ל שימוש במחירון בנסיעות מיוחדות במונית השתתפותם במרכזים מפתח להפעלת מונית ; תקנות התעבורה (תיקון מס'...) התשס"ד-2003 בדבר ביטול ההסדרים המיוחדים למוניות מסוג זוטובוס ; תקנות התעבורה (תיקון מס' 8) התשס"ג-1993 (תיקון) התשס"ד-2003 בדבר ההסדר המיוחד למוניות מסוג זוטובוס וקביעת תקופת מעבר ; רפורמה בענף המוניות,23
16,2004,01,19,1,0,13,4,0,11,65997,132,64;203;748;209;723;58;734,הצעת חוק לתיקון פקודת זכות יוצרים (תיקון - סגירת חצרים ושלילת רשיון) התשס"ד-2003 ; הצעת חוק זכויות יוצרים ומבצעים (שיפוט בעניני תגמולים) התשס"א-2001,23
16,2004,01,13,2,1,9,234,1,3,66002,141,753;91;222;742,הכשרת המורה בישראל,27
16,2004,01,14,1,2,0,1,4,13,66003,142,126,שימור אתרים-מתחם שרונה בקריה בת"א,27
16,2004,01,15,1,15,6,142,2,3,66004,143,197;713;13;757;727,סיור בחינוך במגזר הערבי,27
16,2004,01,12,0,0,0,1,0,4,66005,126,91;230,התנהגות חוקי מחלק הנוער של משטרת תל-אביב,24
16,2004,01,13,1,0,4,10,0,0,66007,130,738;100;745;206;216,הצעת חוק קביעת מזוזה במבנה ציבור התשס"ד-2004,24
16,2004,01,12,0,0,0,2,0,5,66013,135,744;100;92,תקנות הסמים המסוכנים (דרכי הנהלת הקרן לטיפול בנכסים שחולטו) (תיקון) התשס"ד - 2003 ; חוק המפלגות (תיקון מס' 13) התשס"ד-2004,25
16,2004,01,12,0,0,10,3,0,1,66014,136,66;744;745;201;206;112;697;92,חוק הדיינים (תיקון מס' 20) התשס"ד-2004 ; חוק הרבנות הראשית לישראל (תיקון) התשס"ד-2004,25
16,2004,01,13,0,1,7,4,2,3,66015,137,112;697;100,חוקה בהסכמה רחבה,25
16,2004,01,15,2,0,3,1,0,14,66023,132,121,חוק לתיקון פקודת בתי הסוהר (מס' 28) התשס"ד-2004,24
16,2004,01,12,0,0,15,1,0,1,66050,89,8;9;19;35;58;64;66;197;201;208;725;91;732;92;734;737;228;741;230;103;744;745,הרכב ועדה משותפת ; שונות ; קביעת ועדות לדיון בהצעות חוק ובהצעות לסדר היום ; העברה מועדה לועדה - חוקים והצעות לסה"י,20
16,2004,01,26,0,0,0,0,0,0,66166,94,736;737;741;8;745;201;203;748;733;206;208;753;729;730;220;61;735,שונות ; קביעת ועדות לדיון בהצעות חוק ובהצעות לסדר היום ; תיקוני תקנון ; בקשת היועמ"ש לממשלה לנטילת חסינות מחבר כנסת ; בקשת היועץ המשפטי לממשלה לנטילת החסינות מחה"כ יחיאל חזן,20
16,2004,01,27,0,0,31,2,0,0,66169,150,9,תקנות החברות (שינוי החלטה שפורטה בהודעה על אסיפה כללית) התשס"ד - 2003,25
16,2004,01,27,0,0,0,4,0,1,66175,152,736;1;197;713;13;208;725;91;126,החזרת הפסיכומטרי כתנאי קבלה לאוניברסיטאות הצעה לסדר היום של ח"כ טיבי ח"כ בשארה ח"כ דהאמשה וח"כ תמיר-הצבעה על החלטות הוועדה,27
16,2004,01,26,0,0,0,0,0,1,66176,149,753;35;100;209,שאילתה בוועדה: מינויו של השופט בועז אוקון למנהל בתי המשפט,25
16,2004,02,02,1,0,0,35,33,1,66180,40,64;35;742;713;717;206;755;216;220;126,עישון נרגילה בקרב בני נוער,35
16,2004,01,27,0,0,8,0,0,0,66185,140,112;64;58;203,תוכניות משרד התקשורת למספור מחדש של הטלפונים,23
16,2004,02,02,4,31,13,5,1,7,66186,144,738;26,דיווח המשרד לאיכות הסביבה על ישום החלטת הממשלה בדבר פיתוח בר-קיימא,24
16,2004,02,03,1,62,10,0,5,11,66188,146,738;739;26;35;742;729;730,תקשורת ואיכות הסביבה,24
16,2004,02,03,0,0,3,0,0,0,66189,147,,חוק לתיקון פקודת העיריות (מס' 94) התשס"ד-2004,24
16,2004,02,02,0,0,0,0,0,0,66191,153,35;100;137;206;112;92,החלטה בדבר חידוש הדיון בוועדה בהצ"ח הרבנות הראשית לישראל (תיקון) התשס"ד - 2004 - עפ"י סעיף 124 לתקנון הכנסת - הצבעה,25
16,2004,02,02,0,0,8,0,2,16,66192,154,112;137;206;744,חוק איסור מימון טרור התשס"ה-2005,25
16,2004,02,03,0,0,0,2,0,1,66195,156,100;747;206;112;209;697,צמצום זכות השתיקה של נבחרי ציבור - דיון,25
16,2004,02,03,0,0,0,0,0,0,66196,159,744;112;209;725;92;735,חוק נושאי משרה שיפוטית (שיקול דעת של חברי ועדה לבחירת נושאי משרה שיפוטית) (תיקוני חקיקה) התשס"ד-2004,25
16,2004,02,04,1,2,8,7,1,5,66197,160,744;209;747,חוקה בהסכמה רחבה,25
16,2004,02,05,15,0,0,2,0,9,66198,161,112;206,חוק שיפוט בענייני התרת נישואין (מקרים מיוחדים וסמכות בינלאומית) (תיקוני חקיקה) התשס"ה-2005,25
16,2004,02,02,13,0,24,7,1,0,66201,143,64;737;3;203;209;50;58,סקירת פעילות המדען הראשי במשרד התמ"ת ; סקירת פעילות מרכז ההשקעות במשרד התמ"ת ; הוצאת ידע וייצור מישראל - דווח על התיקונים בחוק המו"פ,23
16,2004,02,02,1,0,0,35,33,1,66203,157,64;35;742;713;717;206;755;216;220;126,עישון נרגילה בקרב בני נוער,27
16,2004,02,02,1,0,11,1,1,13,66204,144,64;737;745;203;748;112;209;50;753;726;58,הצעת שר התקשורת לחסימה של שיחות טלפון ארוטיות בפני קטינים,23
