KnessetDateID,KnessetNum,Name,Assembly,Plenum,PlenumStart,PlenumFinish,IsCurrent,LastUpdatedDate
137,9,התשיעית,1,2,1977-10-17 00:00:00,1978-04-05 00:00:00,False,2016-02-24 11:53:56
138,9,התשיעית,2,2,1978-05-15 00:00:00,1978-08-02 00:00:00,False,2016-02-24 11:53:56
139,9,התשיעית,1,3,1978-10-30 00:00:00,1979-04-04 00:00:00,False,2016-02-24 11:54:36
140,9,התשיעית,2,3,1979-05-07 00:00:00,1979-08-01 00:00:00,False,2016-02-24 11:54:36
141,9,התשיעית,1,4,1979-10-22 00:00:00,1980-03-26 00:00:00,False,2016-02-24 11:54:58
142,9,התשיעית,2,4,1980-05-05 00:00:00,1980-07-30 00:00:00,False,2016-02-24 11:54:58
143,9,התשיעית,1,5,1980-10-13 00:00:00,1981-04-01 00:00:00,False,2016-02-24 11:55:37
144,13,השלוש-עשרה,2,1,1992-07-13 00:00:00,1992-08-05 00:00:00,False,2016-02-24 13:51:14
145,14,הארבע-עשרה,2,1,1996-06-17 00:00:00,1996-07-28 00:00:00,False,2016-02-28 11:53:38
146,15,החמש-עשרה,2,1,1999-06-07 00:00:00,1999-08-02 00:00:00,False,2016-02-28 11:55:55
147,20,העשרים,2,3,2017-05-07 00:00:00,2017-07-30 00:00:00,True,2016-11-10 10:33:45
148,20,העשרים,1,4,2017-10-22 00:00:00,2018-03-18 00:00:00,True,2017-10-29 09:37:39
149,20,העשרים,2,4,2018-04-29 00:00:00,2018-07-22 00:00:00,True,2017-10-29 09:37:39
150,20,העשרים,3,4,2018-10-14 00:00:00,,True,2018-07-02 16:03:06
